Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Salary,Acquired,Pos
1,Alex\'a0Rodriguez\\rodrial01,35,NYY,99,428,10,1,-2,13,1,23,2.4,16,38,3.9,.524,.515,2.6,1.5,25,$32000000,Free Agency,5D\
2,Vernon\'a0Wells\\wellsve01,32,LAA,131,529,-8,1,1,-11,-6,-23,-2.4,20,-3,-0.5,.482,.485,0.7,-1.7,8,$26187500,Traded,*789/D\
3,CC\'a0Sabathia*\\sabatc.01,30,NYY,33,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$24285714,Free Agency,1\
4,Mark\'a0Teixeira#\\teixema01,31,NYY,156,684,16,0,0,3,-9,9,1.0,25,34,3.4,.506,.506,3.1,-0.7,31,$23125000,Free Agency,*3/D\
5,Joe\'a0Mauer*\\mauerjo01,28,MIN,82,333,1,0,-1,1,1,2,0.3,12,15,1.5,.503,.502,1.4,0.2,14,$23000000,Amateur Draft,23D/9\
6,Todd\'a0Helton*\\heltoto01,37,COL,124,491,9,0,-1,7,-6,9,1.0,15,24,2.5,.508,.506,1.6,0.1,17,$20275000,Amateur Draft,*3\
7,Miguel\'a0Cabrera\\cabremi01,28,DET,161,688,64,0,-3,-3,-10,49,5.1,25,74,7.5,.531,.531,7.9,-1.3,77,$20000000,Traded,*3/D\
8,Roy\'a0Halladay\\hallaro01,34,PHI,32,92,-13,0,0,0,12,-2,-0.2,0,-2,-0.2,.494,.499,-0.2,0.0,-2,$20000000,Traded,1\
9,Ryan\'a0Howard*\\howarry01,31,PHI,152,644,18,-4,1,-13,-9,-7,-0.8,20,13,1.2,.495,.495,2.5,-2.4,26,$20000000,Amateur Draft,*3/D\
10,Carlos\'a0Beltran#\\beltrca01,34,2TM,142,598,37,0,-2,-3,-6,26,2.8,19,45,4.6,.520,.511,4.9,-1.0,48,$19325436,Free Agency,9/D\
11,Carlos\'a0Lee\\leeca01,35,HOU,155,653,16,-4,0,14,-9,18,2.0,20,38,4.0,.513,.512,2.3,0.6,24,$19000000,Free Agency,73/D\
12,Alfonso\'a0Soriano\\soriaal01,35,CHC,137,508,1,-1,-1,-9,-5,-16,-1.8,16,0,-0.2,.487,.489,0.7,-1.5,9,$19000000,Free Agency,*7/D\
13,Carlos\'a0Zambrano#\\zambrca01,30,CHC,25,48,1,0,0,0,6,8,0.8,0,8,0.8,.532,.505,0.8,0.0,8,$18875000,Amateur Free Agent,1\
14,Torii\'a0Hunter\\hunteto01,35,LAA,156,649,16,-2,-4,9,-8,13,1.4,24,37,3.8,.509,.508,2.9,0.2,28,$18500000,Free Agency,*9D/8\
15,Barry\'a0Zito*\\zitoba01,33,SFG,13,14,-3,0,0,0,2,-1,-0.2,0,-1,-0.2,.489,.499,-0.2,0.0,-1,$18500000,Free Agency,1\
16,Jason\'a0Bay\\bayja01,32,NYM,123,509,0,1,1,-3,-5,-6,-0.7,16,10,0.9,.495,.496,1.1,-0.9,13,$18125000,Free Agency,*7\
17,Ichiro\'a0Suzuki*\\suzukic01,37,SEA,161,721,-13,3,3,-3,-7,-18,-1.8,25,8,0.6,.488,.488,1.0,-1.1,11,$18000000,Purchased,*9D\
18,Josh\'a0Beckett\\beckejo02,31,BOS,30,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,.498,.500,-0.1,0.0,-1,$17000000,Traded,1\
19,A.J.\'a0Burnett\\burnea.01,34,NYY,34,3,-1,0,0,0,1,0,0.0,0,0,0.0,.499,.500,0.0,0.0,0,$16500000,Free Agency,1\
20,Matt\'a0Holliday\\hollima01,31,STL,124,516,30,1,-3,-1,-5,22,2.3,16,38,3.9,.519,.514,4.0,-0.7,39,$16317774,Free Agency,*7/D\
21,Michael\'a0Young\\youngmi02,34,TEX,159,689,20,1,-1,-12,-8,-1,0.0,25,25,2.4,.500,.500,3.7,-2.0,37,$16174974,Traded,D534/6\
22,Roy\'a0Oswalt\\oswalro01,33,PHI,24,49,-8,-1,0,0,6,-2,-0.2,0,-2,-0.2,.492,.499,-0.2,0.0,-2,$16000000,Traded,1\
23,Jake\'a0Peavy\\peavyja01,30,CHW,19,2,0,0,0,0,0,0,0.0,0,0,0.0,.502,.500,0.0,0.0,0,$16000000,Traded,1\
24,John\'a0Lackey\\lackejo01,32,BOS,28,3,0,0,0,0,1,1,0.1,0,1,0.1,.503,.500,0.1,0.0,1,$15950000,Free Agency,1\
25,Prince\'a0Fielder*\\fieldpr01,27,MIL,162,692,47,-5,0,-9,-10,23,2.5,21,45,4.6,.515,.515,5.5,-2.1,54,$15500000,Amateur Draft,*3/D\
