Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1,Fernando\'a0Abad*\\abadfe01,28,OAK,AL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
2,Bobby\'a0Abreu*\\abreubo01,40,NYM,NL,78,155,133,12,33,9,0,1,14,1,0,20,21,.248,.342,.338,.680,97,45,3,0,0,2,0,9/7D\
3,Jose\'a0Abreu\\abreujo02,27,CHW,AL,145,622,556,80,176,35,2,36,107,3,1,51,131,.317,.383,.581,.964,173,323,14,11,0,4,15,*3D\
4,Tony\'a0Abreu#\\abreuto01,29,SFG,NL,3,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,-100,0,1,0,0,0,0,/45\
5,Alfredo\'a0Aceves\\aceveal01,31,NYY,AL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
6,Dustin\'a0Ackley*\\ackledu01,26,SEA,AL,143,542,502,64,123,27,4,14,65,8,4,32,90,.245,.293,.398,.692,99,200,10,3,3,2,1,*7/D\
7,Cristhian\'a0Adames#\\adamecr01,22,COL,NL,7,15,15,1,1,0,0,0,0,0,0,0,5,.067,.067,.067,.133,-65,1,1,0,0,0,0,/64\
8,Lane\'a0Adams\\adamsla01,24,KCR,AL,6,3,3,1,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,-100,0,0,0,0,0,0,/8D7\
9,Matt\'a0Adams*\\adamsma01,25,STL,NL,142,563,527,55,152,34,5,15,68,3,2,26,114,.288,.321,.457,.779,116,241,9,3,0,7,5,*3\
10,Mike\'a0Adams\\adamsmi03,35,PHI,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
11,Jim\'a0Adduci*\\adducji02,29,TEX,AL,44,114,101,13,17,3,0,1,8,3,1,10,27,.168,.239,.228,.467,32,23,2,0,1,2,0,7/9D3\
12,Ehire\'a0Adrianza#\\adriaeh01,24,SFG,NL,53,106,97,10,23,6,0,0,5,1,1,5,22,.237,.279,.299,.578,66,29,2,1,2,1,1,4/65\
13,Jeremy\'a0Affeldt*\\affelje01,35,SFG,NL,59,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
14,Jesus\'a0Aguilar\\aguilje01,24,CLE,AL,19,38,33,2,4,0,0,0,3,0,0,4,13,.121,.211,.121,.332,-4,4,1,0,0,1,0,3/D5\
15,Nick\'a0Ahmed\\ahmedni01,24,ARI,NL,25,75,70,9,14,2,0,1,4,0,1,3,10,.200,.233,.271,.504,40,19,2,0,2,0,0,6/4\
16,Al\'a0Alburquerque\\albural01,28,DET,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
