k,Name,Age,Tm,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWL%,162WL%,Salary▼,Acquired
1,Pedro Martinez\martipe02,32,BOS,217.0,33,33,99,4.11,5.10,-0.08,0.20,104.5,5.62,34,3.5,,-0.1,5.5,62,.605,.521,$17500000,Traded
2,Randy Johnson*\johnsra05,40,ARI,245.2,35,35,88,3.22,4.80,-0.03,0.19,108.3,5.44,59,6.6,,-0.2,8.5,82,.689,.541,$16000000,Free Agency
3,Mike Mussina\mussimi01,35,NYY,164.2,27,27,91,4.97,5.00,-0.49,0.19,97.4,5.53,8,0.8,,-0.1,2.4,29,.529,.505,$16000000,Free Agency
4,Kevin Brown\brownke01,39,NYY,132.0,22,22,65,4.43,4.94,-0.50,0.19,99.0,5.58,15,1.5,,-0.1,2.8,32,.569,.509,$15714286,Traded
5,Mike Hampton*\hamptmi01,31,ATL,172.1,29,29,86,4.49,4.74,0.29,0.19,99.6,4.62,1,0.1,,-0.1,1.5,18,.505,.501,$14625000,Traded
6,Chan Ho Park\parkch01,31,TEX,95.2,16,16,63,5.93,4.84,-0.21,0.19,107.4,5.62,-5,-0.4,,-0.1,0.5,8,.473,.497,$14000000,Free Agency
7,Matt Morris\morrima01,29,STL,202.0,32,32,116,5.17,4.59,0.20,0.18,99.7,4.56,-15,-1.5,,-0.1,0.1,4,.454,.491,$12500000,Free Agency
8,Darren Dreifort\dreifda01,32,LAD,50.2,60,0,25,4.44,4.83,0.28,-0.35,97.4,4.09,-2,-0.2,1.14,-0.1,0.1,2,.496,.499,$12400000,Free Agency
9,Curt Schilling\schilcu01,37,BOS,226.2,32,32,84,3.34,4.97,-0.09,0.19,106.7,5.60,54,5.7,,-0.1,7.9,83,.679,.535,$12000000,Traded
10,John Smoltz\smoltjo01,37,ATL,81.2,73,0,25,2.76,4.68,0.23,-0.34,100.0,4.11,12,1.2,1.68,0.2,2.2,19,.517,.507,$11666667,Free Agency
11,Bartolo Colon\colonba01,31,ANA,208.1,34,34,122,5.27,4.92,-0.07,0.19,98.4,5.10,-7,-0.7,,-0.1,1.4,20,.481,.496,$11000000,Free Agency
12,Kevin Millwood\millwke01,29,PHI,141.0,25,25,81,5.17,4.62,0.10,0.18,105.1,4.94,-5,-0.5,,-0.1,0.7,9,.482,.497,$11000000,Free Agency
13,Mariano Rivera\riverma01,34,NYY,78.2,74,0,17,1.94,5.03,-0.44,-0.37,97.3,4.96,25,2.5,1.82,0.8,4.2,35,.534,.515,$10890000,Amateur Free Agent
